time,shoulder_pos,shoulder_vel,shoulder_torque,elbow_pos,elbow_vel,elbow_torque
2.719909906387329102e+00,1.033180743114371580e+00,-7.692307692308020250e-02,-3.472527472527460191e-01,-2.187312123292898036e+00,-7.692307692308020250e-02,3.767032967032967861e+00
2.723984003067016602e+00,1.033180743114371580e+00,-1.098901098901450268e-02,-1.098901098901094997e-01,-2.190226596475170595e+00,-1.417582417582416099e+00,7.604395604395612907e-01
2.726598978042602539e+00,1.036095216296629928e+00,1.065934065934065700e+00,3.362637362637361349e+00,-2.193141069657428943e+00,-6.483516483516496010e-01,8.417582417582416099e+00
2.728645563125610352e+00,1.039009689478902487e+00,2.802197802197802901e+00,4.153846153846153300e+00,-2.187312123292898036e+00,2.736263736263737201e+00,9.129670329670329210e+00
2.730786323547363281e+00,1.047753109025705953e+00,3.241758241758240899e+00,3.714285714285715301e+00,-2.181483176928352918e+00,4.076923076923080203e+00,9.815384615384616041e+00
2.732578992843627930e+00,1.050667582207978512e+00,2.164835164835167802e+00,1.534065934065935721e+00,-2.172739757381549452e+00,3.813186813186810298e+00,8.980219780219780290e+00
2.734274864196777344e+00,1.053582055390251071e+00,4.285714285714306016e-01,3.208791208791197391e-01,-2.169825284199276894e+00,2.098901098901102102e+00,8.215384615384614619e+00
2.736157894134521484e+00,1.050667582207978512e+00,-2.054945054945058303e+00,-1.362637362637357796e-01,-2.169825284199276894e+00,5.494505494505830256e-02,8.496703296703294939e+00
2.737589120864868164e+00,1.047753109025705953e+00,-2.494505494505496301e+00,5.714285714285693984e-02,-2.169825284199276894e+00,-1.087912087912087600e+00,8.971428571428571530e+00
2.739437341690063477e+00,1.041924162661175046e+00,-1.989010989010985497e+00,1.701098901098902161e+00,-2.172739757381549452e+00,-1.285714285714284699e+00,1.002637362637362628e+01
2.741196632385253906e+00,1.041924162661175046e+00,-9.780219780219781001e-01,2.650549450549451791e+00,-2.175654230563822011e+00,-6.483516483516496010e-01,1.021098901098901024e+01
2.743241310119628906e+00,1.041924162661175046e+00,6.263736263736277010e-01,3.406593406593405149e+00,-2.172739757381549452e+00,3.626373626373649017e-01,1.017582417582417520e+01
2.744838237762451172e+00,1.044838635843447605e+00,1.593406593406591298e+00,3.010989010989010950e+00,-2.172739757381549452e+00,1.131868131868131400e+00,9.674725274725275881e+00
2.746736049652099609e+00,1.047753109025705953e+00,1.593406593406591298e+00,1.718681318681319681e+00,-2.169825284199276894e+00,1.527472527472525599e+00,8.962637362637362770e+00
2.748176336288452148e+00,1.047753109025705953e+00,1.131868131868131400e+00,1.138461538461537970e+00,-2.166910811017018545e+00,1.593406593406591298e+00,8.549450549450551051e+00
2.749536752700805664e+00,1.047753109025705953e+00,5.494505494505830256e-02,5.054945054945072513e-01,-2.166910811017018545e+00,1.263736263736262799e+00,8.294505494505493459e+00
2.750933408737182617e+00,1.047753109025705953e+00,-3.846153846153868017e-01,4.439560439560423788e-01,-2.163996337834745987e+00,1.021978021978021900e+00,8.347252747252746019e+00
2.752294540405273438e+00,1.047753109025705953e+00,-1.351648351648350399e+00,9.010989010989014503e-01,-2.163996337834745987e+00,1.021978021978021900e+00,8.769230769230770051e+00
2.753674745559692383e+00,1.044838635843447605e+00,-1.153846153846153300e+00,9.890109890109890500e-01,-2.161081864652473428e+00,6.263736263736277010e-01,8.971428571428571530e+00
2.755346775054931641e+00,1.044838635843447605e+00,-7.802197802197810006e-01,1.437362637362635809e+00,-2.161081864652473428e+00,6.923076923076934008e-01,9.314285714285713169e+00
2.756964445114135742e+00,1.041924162661175046e+00,-7.142857142857153008e-01,1.604395604395605801e+00,-2.158167391470200869e+00,8.241758241758248005e-01,9.428571428571427049e+00
2.758589506149291992e+00,1.041924162661175046e+00,-4.505494505494525015e-01,1.419780219780218289e+00,-2.158167391470200869e+00,6.263736263736277010e-01,9.305494505494504409e+00
2.760083198547363281e+00,1.041924162661175046e+00,-3.406593406593430018e-01,1.648351648351649601e+00,-2.158167391470200869e+00,1.021978021978021900e+00,9.226373626373625569e+00
2.761642694473266602e+00,1.039009689478902487e+00,-7.802197802197810006e-01,1.841758241758242320e+00,-2.155252918287942521e+00,1.395604395604394199e+00,9.103296703296702930e+00
2.763209581375122070e+00,1.039009689478902487e+00,-1.417582417582416099e+00,1.701098901098902161e+00,-2.152338445105669962e+00,1.263736263736262799e+00,8.980219780219780290e+00
2.764867782592773438e+00,1.036095216296629928e+00,-1.285714285714284699e+00,1.991208791208791240e+00,-2.149423971923397403e+00,1.329670329670328499e+00,9.112087912087911690e+00
2.766483306884765625e+00,1.033180743114371580e+00,-1.615384615384613198e+00,2.052747252747252560e+00,-2.149423971923397403e+00,1.461538461538459899e+00,9.050549450549450370e+00
2.768112421035766602e+00,1.033180743114371580e+00,-7.802197802197810006e-01,1.982417582417582480e+00,-2.146509498741124844e+00,1.725274725274722698e+00,8.953846153846154010e+00
2.769737243652343750e+00,1.030266269932099021e+00,-3.406593406593430018e-01,2.369230769230767919e+00,-2.140680552376593937e+00,2.296703296703299202e+00,9.199999999999999289e+00
2.771348953247070312e+00,1.030266269932099021e+00,1.208791208791240024e-01,1.832967032967033560e+00,-2.137766079194321378e+00,2.362637362637364902e+00,9.032967032967032850e+00
2.772976636886596680e+00,1.030266269932099021e+00,-7.692307692308020250e-02,1.613186813186814561e+00,-2.134851606012048819e+00,2.296703296703299202e+00,9.270329670329669369e+00
2.774597883224487305e+00,1.030266269932099021e+00,-6.483516483516496010e-01,1.358241758241756969e+00,-2.131937132829790471e+00,1.659340659340656998e+00,9.349450549450548209e+00
2.776226520538330078e+00,1.030266269932099021e+00,-1.043956043956043800e+00,1.305494505494504409e+00,-2.129022659647517912e+00,1.021978021978021900e+00,9.314285714285713169e+00
2.777966499328613281e+00,1.027351796749826462e+00,-1.549450549450547499e+00,1.481318681318679609e+00,-2.129022659647517912e+00,4.285714285714306016e-01,9.340659340659339449e+00
2.779616594314575195e+00,1.024437323567553904e+00,-1.153846153846153300e+00,1.604395604395605801e+00,-2.129022659647517912e+00,4.945054945054963014e-01,9.243956043956043089e+00
2.781241655349731445e+00,1.024437323567553904e+00,-7.142857142857153008e-01,2.210989010989010239e+00,-2.126108186465245353e+00,1.021978021978021900e+00,9.428571428571427049e+00
2.782860040664672852e+00,1.021522850385295555e+00,-7.692307692308020250e-02,2.386813186813185439e+00,-2.123193713282972794e+00,1.527472527472525599e+00,9.252747252747251849e+00
2.784487009048461914e+00,1.024437323567553904e+00,2.527472527472554020e-01,1.982417582417582480e+00,-2.120279240100714446e+00,2.098901098901102102e+00,8.610989010989012371e+00
2.785937786102294922e+00,1.024437323567553904e+00,-1.428571428571459023e-01,1.780219780219781001e+00,-2.114450293736169328e+00,3.000000000000000000e+00,8.364835164835163539e+00
2.787896156311035156e+00,1.021522850385295555e+00,-6.483516483516496010e-01,1.103296703296702930e+00,-2.111535820553896770e+00,3.175824175824175200e+00,8.364835164835163539e+00
2.789507865905761719e+00,1.021522850385295555e+00,-1.087912087912087600e+00,7.692307692307700506e-01,-2.105706874189365863e+00,3.175824175824175200e+00,8.602197802197803611e+00
2.791139125823974609e+00,1.018608377203022997e+00,-1.791208791208788398e+00,9.714285714285715301e-01,-2.099877927824820745e+00,2.472527472527474401e+00,8.892307692307692690e+00
2.792745351791381836e+00,1.015693904020750438e+00,-1.681318681318678898e+00,7.868131868131875706e-01,-2.099877927824820745e+00,1.527472527472525599e+00,8.769230769230770051e+00
2.794203758239746094e+00,1.012779430838477879e+00,-1.681318681318678898e+00,1.147252747252746730e+00,-2.096963454642562397e+00,1.263736263736262799e+00,8.883516483516483930e+00
2.795700550079345703e+00,1.009864957656219531e+00,-9.780219780219781001e-01,1.639560439560440841e+00,-2.094048981460289838e+00,1.593406593406591298e+00,8.989010989010989050e+00
2.797508001327514648e+00,1.009864957656219531e+00,-7.142857142857153008e-01,2.079120879120878840e+00,-2.091134508278017279e+00,2.230769230769233502e+00,8.971428571428571530e+00
2.799137353897094727e+00,1.009864957656219531e+00,-5.164835164835182013e-01,2.008791208791208760e+00,-2.085305561913486372e+00,2.868131868131868600e+00,8.883516483516483930e+00
2.800717353820800781e+00,1.006950484473946972e+00,-5.824175824175839011e-01,1.701098901098902161e+00,-2.082391088731213813e+00,3.065934065934065700e+00,9.024175824175824090e+00
2.802334547042846680e+00,1.006950484473946972e+00,-1.417582417582416099e+00,1.208791208791208049e+00,-2.076562142366668695e+00,2.736263736263737201e+00,8.786813186813187571e+00
2.803956508636474609e+00,1.004036011291674413e+00,-1.747252747252744598e+00,1.279120879120878129e+00,-2.073647669184410347e+00,2.230769230769233502e+00,8.716483516483517491e+00
2.805585145950317383e+00,1.001121538109401854e+00,-1.923076923076919797e+00,1.419780219780218289e+00,-2.070733196002137788e+00,1.835164835164832198e+00,8.698901098901099971e+00
2.807213068008422852e+00,9.952925917448709470e-01,-2.054945054945058303e+00,1.789010989010989761e+00,-2.067818722819865229e+00,1.725274725274722698e+00,8.892307692307692690e+00
2.808841943740844727e+00,9.952925917448709470e-01,-1.219780219780218999e+00,2.158241758241757680e+00,-2.061989776455334322e+00,2.428571428571430602e+00,9.076923076923076650e+00
