t[s],q_urdf_hip,q_urdf_knee,qd_urdf_hip,qd_urdf_knee,qdd_urdf_hip,qdd_urdf_knee,Tau_urdf_hip,Tau_urdf_knee
0.0,1.2,-2.35,0.0,0.0,72.05446329872257,17.986326708179718,9.600000000000001,0.11467547112058428
0.005,1.201801361582468,-2.3495503418322956,0.36027231649361285,0.08993163354089859,73.83528386257467,-100.25741442377375,9.600000000000001,0.02002335910957272
0.01,1.2054486052615005,-2.3516071190251853,0.7294487358064863,-0.4113554385779702,-2.604781338188559,-1.0381359714428982,-7.535790727548412,-0.10038169039990506
0.015,1.2090307294070783,-2.353689849617361,0.7164248291155435,-0.4165461184351847,-12.327540452092308,11.423723051329716,-9.600000000000001,-0.11493842536535234
0.02,1.2123046650413538,-2.3554869871332538,0.654787126855082,-0.3594275031785361,-12.753080262375079,11.87478100961141,-9.600000000000001,-0.11494756030269959
0.025,1.2152597736690698,-2.356987255123906,0.5910217255432066,-0.30005359813047905,-13.154179896986534,12.298204391124273,-9.600000000000001,-0.11494895394058456
0.03,1.217886027799361,-2.3581800680047804,0.525250826058274,-0.23856257617485768,-13.527743735845888,12.691618681184309,-9.600000000000001,-0.11494508038661935
0.035,1.2201740883362562,-2.3590555904186252,0.45761210737904456,-0.17510448276893614,-13.870805075006501,13.05266672961261,-9.600000000000001,-0.11493847510667614
0.04,1.2221153787462762,-2.3596047961642297,0.3882580820040121,-0.10984114912087309,-14.180876554121824,13.403980285027728,-9.600000000000001,-0.11491165552838653
0.045,1.2237021472424432,-2.3598189024027083,0.31735369923340295,-0.04282124769573445,-14.462128575463794,14.295677042233478,-9.600000000000001,-0.11442340003799933
0.05,1.2249273625242236,-2.359675616715131,0.24504305635608398,0.028657137515432946,-14.708458760634585,15.0949667770318,-9.600000000000001,-0.11398326878519213
0.055,1.2257848663369881,-2.359154956858128,0.17150076255291105,0.10413197140059195,-14.918692150912648,15.80470320884524,-9.600000000000001,-0.1135911361119304
0.06,1.22626940284598,-2.358239179420904,0.0969073017983478,0.18315548744481813,-15.092034968273083,16.42753041260744,-9.600000000000001,-0.11324682044731292
0.065,1.2263766384807648,-2.3569127137233647,0.021447126956982393,0.2652931395078553,-15.228074329691708,16.965905325256017,-9.600000000000001,-0.11295008469535413
0.07,1.2261031722573075,-2.355162100392694,-0.05469324469147614,0.3501226661341354,-15.32677467260919,17.42211414385656,-9.600000000000001,-0.11270063979785587
0.075,1.2254465366670348,-2.352975934208427,-0.13132711805452207,0.4372332368534182,-15.388469057602379,17.798281213182918,-9.600000000000001,-0.1124981533781411
0.08,1.2244051893503223,-2.35034481099383,-0.208269463342534,0.5262246429193328,-15.413844076311534,18.09636986679834,-9.600000000000001,-0.11234226442869076
0.085,1.2229784959317018,-2.3472612785325633,-0.28533868372409166,0.6167064922533245,-15.403917650165113,18.31817496485303,-9.600000000000001,-0.11223260452874573
0.09,1.2211667045718273,-2.3437197916971755,-0.3623582719749172,0.7082973670775896,-15.360009542903072,18.465307130510837,-9.600000000000001,-0.11216882562270189
0.095,1.2189709129733801,-2.339716672183525,-0.4391583196894326,0.8006239027301438,-15.283704904831438,18.539168907504745,-9.600000000000001,-0.11215063398276104
0.1,1.2163930287523121,-2.335250073447187,-0.5155768442135897,0.8933197472676676,-15.176811597331834,18.540923228954625,-9.600000000000001,-0.11217782964466241
0.105,1.213435724241311,-2.3303199516301247,-0.5914609022002489,0.9860243634124407,-15.041312393696899,18.471454685998197,-9.600000000000001,-0.11225035036633678
0.11,1.2101023869204672,-2.3249280434459125,-0.6666674641687335,1.0783816368424317,-14.879313403677997,18.331324104715918,-9.600000000000001,-0.11236831903128633
0.115,1.2063970667645316,-2.3190778521590825,-0.7410640311871235,1.1700382573660113,-14.692990217977467,18.1207168714443,-9.600000000000001,-0.11253209341208911
0.12,1.2023244218531466,-2.3127746429504663,-0.8145289822770109,1.2606418417232328,-14.484533316390525,17.83938528786257,-9.600000000000001,-0.11274231732526352
0.125,1.1978896636088519,-2.3060254491096535,-0.8869516488589635,1.3498387681625457,-14.256094237877505,17.486584984708998,-9.600000000000001,-0.112999972443527
0.13,1.19309850300861,-2.298839090644223,-0.958232120048351,1.4372716930860907,-14.009733886901131,17.061005079064216,-9.600000000000001,-0.11330643037497204
0.135,1.1879570990611958,-2.2912262070518157,-1.0282807894828567,1.5225767184814119,-13.747374167280896,16.560691323185438,-9.600000000000001,-0.11366350506034774
0.14,1.1824720107595996,-2.283199306176329,-1.0970176603192612,1.605380175097339,-13.470753914771876,15.982960962380957,-9.600000000000001,-0.11407350606778204
0.145,1.176650153610134,-2.2747728312767825,-1.1643714298931205,1.6852949799092438,-13.181389866073005,15.324307387421982,-9.600000000000001,-0.11453929397313849
0.15,1.1704987617140166,-2.2659632486925507,-1.2302783792234855,1.7619165168463538,-12.88054317894057,14.580291921251671,-9.600000000000001,-0.11506433970277838
0.155,1.1640253562384257,-2.2567891588102875,-1.2946810951181884,1.834817976452612,-12.569191828249814,13.745419191389828,-9.600000000000001,-0.11565279049803459
0.16,1.1572377209671285,-2.2472714334482395,-1.3575270542594375,1.9035450724095613,-12.248009159744925,12.81299896297611,-9.600000000000001,-0.11630954005893131
0.165,1.1501438854668378,-2.2374333831121174,-1.418767100058162,1.9676100672244419,-11.92101214119566,12.07595799030355,-9.600000000000001,-0.11679925790091271
0.17,1.1427520246630172,-2.2272934338262376,-1.4783721607641405,2.02798985717596,-11.594242046359568,11.777473035219373,-9.600000000000001,-0.1169267981830188
0.175,1.1350703078080375,-2.216859047714477,-1.5363433709959382,2.0868772223520566,-11.2679470037599,11.47436115942753,-9.600000000000001,-0.11704757260558186
0.18,1.127106892277964,-2.206137802573731,-1.5926831060147377,2.1442490281491944,-10.94404661590329,11.168117852162368,-9.600000000000001,-0.11716153479185512
0.185,1.1188698755824926,-2.195137354486681,-1.6474033390942542,2.2000896174100064,-10.624272342945005,10.860063361376831,-9.600000000000001,-0.11726882623527601
0.19,1.1103672520784478,-2.1838654048155965,-1.7005247008089792,2.2543899342168907,-10.310167271694809,10.551345271298146,-9.600000000000001,-0.11736976711510436
0.195,1.1016068743926104,-2.17232967151273,-1.7520755371674532,2.3071466605733812,-10.003088917479545,10.242936291051706,-9.600000000000001,-0.11746485008966966
0.2,1.0925964194838362,-2.1605378648025866,-1.802090981754851,2.3583613420286396,-9.704214526892201,9.935633559794269,-9.600000000000001,-0.11755473229501136
0.205,1.0833433592118897,-2.1484976672534484,-1.8506120543893119,2.408039509827611,-9.41454834052638,9.630059039930927,-9.600000000000001,-0.11764022612733223
0.21,1.07385493523143,-2.136216718228312,-1.8976847960919438,2.4561898050272655,-9.134930308718594,9.32666058389293,-9.600000000000001,-0.11772228933782529
0.215,1.0641381379932522,-2.1237026026885784,-1.943359447635537,2.50282310794673,-8.866045797133893,9.025713278245462,-9.600000000000001,-0.11780201491073206
0.22,1.0541996896101462,-2.1109628443168886,-1.9876896766212064,2.5479516743379573,-8.608435868604147,8.727320689746762,-9.600000000000001,-0.11788062113403132
0.225,1.0440460303303252,-2.098004902927955,-2.0307318559642273,2.591588277786691,-8.362507779704174,8.431415658936146,-9.600000000000001,-0.11795944221073695
0.23,1.0336833083560115,-2.0848361761475482,-2.072544394862748,2.6337453560813717,-8.128545382230868,8.137760306252915,-9.600000000000001,-0.11803991969993709
0.235,1.023117372747142,-2.071464005359485,-2.1131871217739024,2.6744341576126365,-7.906719169154485,7.845944931369445,-9.600000000000001,-0.11812359502300288
0.24,1.0123537691590436,-2.0578956859481377,-2.1527207176196748,2.7136638822694836,-7.697095750052995,7.555385497327961,-9.600000000000001,-0.11821210322336223
0.245,1.001397738177194,-2.044138481899357,-2.1912061963699396,2.7514408097561236,-7.4996465816975615,7.26531939516704,-9.600000000000001,-0.11830716812910098
0.25,0.9902542160308018,-2.0301996448656974,-2.2287044292784275,2.787767406731959,-7.314255814683065,6.974799182261847,-9.600000000000001,-0.11841059903639564
0.255,0.9789278374890426,-2.016086437852481,-2.265275708351843,2.822641402643268,-7.140727146714653,6.682683976245187,-9.600000000000001,-0.11852428900960696
0.26,0.9674229407686155,-2.0018061637398583,-2.300979344085416,2.856054822524494,-6.978789597359082,6.387628166434325,-9.600000000000001,-0.11865021488008749
0.265,0.9557435743082544,-1.987366198923075,-2.3358732920722116,2.8879929633566657,-6.828102138178565,6.088067074368723,-9.600000000000001,-0.11879043902083945
0.27,0.9438935052944388,-1.9727740324294325,-2.3700138027631046,2.9184332987285093,-6.688257126616236,5.782199154262457,-9.600000000000001,-0.11894711297811891
0.275,0.9318762298524579,-1.9580373109569333,-2.4034550883961856,2.9473442944998216,-6.558782502413578,5.467964270857749,-9.600000000000001,-0.11912248305397508
0.28,0.9196949848479166,-1.9431638903776627,-2.4362490009082536,2.97468411585411,-6.439142712559715,5.143017525885114,-9.600000000000001,-0.11931889795627099
0.285,0.9073527612755613,-1.928161894360245,-2.468444714471052,3.0003992034835356,-6.328738335578009,4.80469802314235,-9.600000000000001,-0.11953881866524062
0.29,0.8948523192448166,-1.9130397808922488,-2.500088406148942,3.0244226935992473,-6.226904379521784,4.449991864302717,-9.600000000000001,-0.11978483070987726
0.295,0.8821962046045838,-1.897806417627645,-2.531222928046551,3.046672652920761,-6.132907231555009,4.075488551060516,-9.600000000000001,-0.12005965910454607
