time,shoulder_pos,shoulder_vel,shoulder_torque,elbow_pos,elbow_vel,elbow_torque
5.917339086532592773e+00,1.039009689478902487e+00,-7.692307692308020250e-02,-5.318681318681335313e-01,-2.187312123292898036e+00,-1.098901098901450268e-02,3.793406593406594141e+00
5.920986175537109375e+00,1.039009689478902487e+00,-7.692307692308020250e-02,-1.802197802197795795e-01,-2.190226596475170595e+00,-1.285714285714284699e+00,8.219780219780226105e-01
5.924085378646850586e+00,1.039009689478902487e+00,-1.153846153846153300e+00,-4.821978021978022610e+00,-2.190226596475170595e+00,1.395604395604394199e+00,9.024175824175824090e+00
5.926110267639160156e+00,1.036095216296629928e+00,-1.791208791208788398e+00,-4.830769230769231370e+00,-2.184397650110625477e+00,3.439560439560437999e+00,9.692307692307693401e+00
5.927685022354125977e+00,1.033180743114371580e+00,-1.923076923076919797e+00,-4.909890109890110210e+00,-2.178568703746094570e+00,4.010989010989014503e+00,1.051868131868132039e+01
5.929275274276733398e+00,1.030266269932099021e+00,-1.615384615384613198e+00,-5.331868131868132465e+00,-2.172739757381549452e+00,3.571428571428569398e+00,1.051868131868132039e+01
5.931280374526977539e+00,1.027351796749826462e+00,-1.351648351648350399e+00,-5.762637362637363481e+00,-2.166910811017018545e+00,2.802197802197802901e+00,1.087032967032967079e+01
5.933006286621093750e+00,1.024437323567553904e+00,-9.780219780219781001e-01,-5.841758241758242320e+00,-2.161081864652473428e+00,1.769230769230766498e+00,1.145934065934065771e+01
5.934552669525146484e+00,1.024437323567553904e+00,-9.120879120879124002e-01,-5.841758241758242320e+00,-2.161081864652473428e+00,5.604395604395620012e-01,1.174065934065934158e+01
5.936272382736206055e+00,1.021522850385295555e+00,-8.461538461538467004e-01,-5.762637362637363481e+00,-2.161081864652473428e+00,-6.483516483516496010e-01,1.145934065934065771e+01
5.938355684280395508e+00,1.018608377203022997e+00,-7.802197802197810006e-01,-5.428571428571428825e+00,-2.163996337834745987e+00,-6.483516483516496010e-01,1.078241758241758319e+01
5.940129756927490234e+00,1.018608377203022997e+00,-8.461538461538467004e-01,-5.085714285714285410e+00,-2.163996337834745987e+00,1.208791208791240024e-01,1.050109890109890287e+01
5.941717624664306641e+00,1.018608377203022997e+00,-7.802197802197810006e-01,-4.883516483516483930e+00,-2.161081864652473428e+00,8.241758241758248005e-01,1.043956043956043800e+01
5.943200588226318359e+00,1.015693904020750438e+00,-6.483516483516496010e-01,-4.945054945054945250e+00,-2.161081864652473428e+00,1.329670329670328499e+00,1.052747252747252915e+01
5.944708824157714844e+00,1.015693904020750438e+00,-7.802197802197810006e-01,-5.129670329670329210e+00,-2.158167391470200869e+00,1.967032967032963597e+00,1.072087912087912187e+01
5.946228265762329102e+00,1.012779430838477879e+00,-7.142857142857153008e-01,-5.226373626373625569e+00,-2.155252918287942521e+00,1.967032967032963597e+00,1.073846153846153939e+01
5.947638750076293945e+00,1.012779430838477879e+00,-9.120879120879124002e-01,-5.305494505494506186e+00,-2.152338445105669962e+00,2.164835164835167802e+00,1.070329670329670435e+01
5.949043989181518555e+00,1.009864957656219531e+00,-1.351648351648350399e+00,-5.331868131868132465e+00,-2.149423971923397403e+00,2.296703296703299202e+00,1.046593406593406428e+01
