t[s],q_urdf_hip,q_urdf_knee,qd_urdf_hip,qd_urdf_knee,qdd_urdf_hip,qdd_urdf_knee,Tau_urdf_hip,Tau_urdf_knee
0.0,1.2,-2.35,0.0,0.0,6.448983790408647,75.56649508109956,-5.249641003464004,-0.01079653820049633
0.005,1.2001612245494184,-2.3481108371667117,0.032244909883683025,0.37783256665767284,5.706719012240001,-7.051924196823677,-5.5650723735089045,-0.08076392399562894
0.01,1.2004651170329348,-2.346397972417708,0.060778496703284196,0.34257294980069986,4.242572830827157,-5.3631669948432545,-5.882889895062959,-0.08324877737599636
0.015,1.2008750737981557,-2.3448191868360526,0.08199135304418748,0.31575711633111553,2.7324545574751937,-3.647103828909394,-6.206137968496124,-0.08579920474815633
0.02,1.2013533418903823,-2.343331578846404,0.09565361844532619,0.29752159792972177,1.1737600602261864,-1.8785249577158538,-6.535100562810853,-0.08839421012686698
0.025,1.2018609539494034,-2.341890933980981,0.10152241180420221,0.2881289730847203,0.882378869430795,-1.7985581504963193,-6.582370617124635,-0.08906341796519573
0.03,1.2023906254478904,-2.340495253072681,0.10593429969741466,0.2791361816600249,1.52170005379935,-2.9644933890492666,-6.427173747540169,-0.08835879451221035
0.035,1.2029583394181262,-2.339173684505212,0.11354279404716296,0.26431371349380584,1.6108695881871427,-3.4133049870225705,-6.3932352406692,-0.08849795956807154
0.04,1.2035663251012534,-2.337937448571888,0.1215971366254371,0.24724718666481493,1.2523979325510481,-3.288562380271344,-6.456037916913101,-0.08931560320420166
0.045,1.2042056207087886,-2.336783426711587,0.12785912150703213,0.23080437206016313,0.5249933459219847,-2.6938192463612154,-6.596846629415259,-0.0906789199171241
0.05,1.2048580411291245,-2.33569675035056,0.13048408406720685,0.2173352722053903,-0.509488170692066,-1.7112775449813853,-6.801091648001937,-0.09248437463725781
0.055,1.2054977243275902,-2.334652855951339,0.12793663969311414,0.2087788798442466,-1.8019320491994222,-0.407280242752563,-7.057421386265764,-0.0946516764917032
0.06,1.2060923592106902,-2.333619143586864,0.1189269766200312,0.2067424728949646,-3.3129791413512066,1.1725548273955155,-7.357011425491942,-0.09711235277034426
0.065,1.2066041696048504,-2.332556117386108,0.10236207883201591,0.2126052401512163,-5.0013508465776795,2.964576419751779,-7.691158363130787,-0.09981279813711486
0.07,1.2069909462214718,-2.3314189768155495,0.07735532332427855,0.22742811411166938,-6.841404841352869,4.98715369056174,-8.05478764249217,-0.10267616239641271
0.075,1.2072066877151193,-2.330157157455589,0.04314829872948625,0.25236387199216037,-8.841841033680566,9.654507274876778,-8.444436877777665,-0.10372113646690637
0.08,1.2072013831851256,-2.32865397542084,-0.001060905998750708,0.3006364069497539,-10.952425055130334,12.575110491425221,-8.858637948316046,-0.10645631759650782
