time,shoulder_pos,shoulder_vel,shoulder_torque,elbow_pos,elbow_vel,elbow_torque
3.335083961486816406e+00,1.033180743114371580e+00,5.494505494505830256e-02,-1.978021978021970995e-01,-2.187312123292898036e+00,-1.098901098901450268e-02,3.802197802197802901e+00
3.338448762893676758e+00,1.033180743114371580e+00,1.208791208791240024e-01,-7.472527472527445980e-02,-2.190226596475170595e+00,-9.780219780219781001e-01,1.032967032967032850e+00
3.340911865234375000e+00,1.033180743114371580e+00,1.868131868131897022e-01,7.252747252747262507e-01,-2.190226596475170595e+00,-1.428571428571459023e-01,8.479120879120877419e+00
3.342777252197265625e+00,1.033180743114371580e+00,6.263736263736277010e-01,1.191208791208790529e+00,-2.187312123292898036e+00,2.802197802197802901e+00,9.481318681318679609e+00
3.344866991043090820e+00,1.036095216296629928e+00,1.021978021978021900e+00,1.024175824175824090e+00,-2.178568703746094570e+00,3.813186813186810298e+00,1.046593406593406428e+01
3.346955537796020508e+00,1.036095216296629928e+00,6.263736263736277010e-01,3.208791208791197391e-01,-2.172739757381549452e+00,3.505494505494503699e+00,1.058021978021978171e+01
3.348734378814697266e+00,1.036095216296629928e+00,-7.692307692308020250e-02,-5.406593406593422912e-01,-2.166910811017018545e+00,2.428571428571430602e+00,1.096703296703296715e+01
3.350562334060668945e+00,1.036095216296629928e+00,-9.780219780219781001e-01,-9.274725274725277302e-01,-2.163996337834745987e+00,1.593406593406591298e+00,1.138021978021977887e+01
3.352242469787597656e+00,1.033180743114371580e+00,-1.417582417582416099e+00,-8.835164835164839303e-01,-2.161081864652473428e+00,3.626373626373649017e-01,1.161758241758241894e+01
3.353850841522216797e+00,1.030266269932099021e+00,-1.681318681318678898e+00,-5.582417582417598112e-01,-2.163996337834745987e+00,-3.846153846153868017e-01,1.144175824175824019e+01
3.355188846588134766e+00,1.030266269932099021e+00,-1.285714285714284699e+00,-7.472527472527445980e-02,-2.163996337834745987e+00,-6.483516483516496010e-01,1.100219780219780219e+01
3.356845617294311523e+00,1.027351796749826462e+00,-9.780219780219781001e-01,7.868131868131875706e-01,-2.163996337834745987e+00,-1.428571428571459023e-01,1.061538461538461675e+01
3.358446836471557617e+00,1.027351796749826462e+00,-7.802197802197810006e-01,1.024175824175824090e+00,-2.163996337834745987e+00,5.604395604395620012e-01,1.050989010989011163e+01
3.359942674636840820e+00,1.024437323567553904e+00,-6.483516483516496010e-01,1.156043956043955490e+00,-2.161081864652473428e+00,9.560439560439562001e-01,1.057142857142857295e+01
3.361584901809692383e+00,1.024437323567553904e+00,-1.098901098901450268e-02,8.835164835164839303e-01,-2.161081864652473428e+00,1.197802197802197099e+00,1.065934065934066055e+01
3.363171339035034180e+00,1.024437323567553904e+00,4.285714285714306016e-01,7.956043956043963306e-01,-2.158167391470200869e+00,1.725274725274722698e+00,1.078241758241758319e+01
3.364713668823242188e+00,1.027351796749826462e+00,6.263736263736277010e-01,4.615384615384598987e-01,-2.155252918287942521e+00,1.725274725274722698e+00,1.077362637362637443e+01
3.366429090499877930e+00,1.027351796749826462e+00,5.604395604395620012e-01,3.956043956043941989e-02,-2.152338445105669962e+00,1.835164835164832198e+00,1.073846153846153939e+01
3.368044137954711914e+00,1.027351796749826462e+00,3.186813186813211018e-01,-4.263736263736248588e-01,-2.149423971923397403e+00,1.835164835164832198e+00,1.054505494505494667e+01
3.369664669036865234e+00,1.027351796749826462e+00,-3.846153846153868017e-01,-5.318681318681335313e-01,-2.146509498741124844e+00,2.164835164835167802e+00,1.039560439560439420e+01
3.371332645416259766e+00,1.027351796749826462e+00,-1.153846153846153300e+00,-6.197802197802211310e-01,-2.140680552376593937e+00,2.362637362637364902e+00,1.046593406593406428e+01
3.373053312301635742e+00,1.024437323567553904e+00,-1.791208791208788398e+00,-5.054945054945072513e-01,-2.137766079194321378e+00,2.736263736263737201e+00,1.062417582417582551e+01
3.374741554260253906e+00,1.021522850385295555e+00,-2.054945054945058303e+00,-4.879120879120861787e-01,-2.131937132829790471e+00,2.604395604395605801e+00,1.111648351648351607e+01
3.376332998275756836e+00,1.018608377203022997e+00,-1.791208791208788398e+00,-2.769230769230759392e-01,-2.129022659647517912e+00,2.538461538461540101e+00,1.116923076923076863e+01
3.377955436706542969e+00,1.015693904020750438e+00,-1.681318681318678898e+00,-7.472527472527445980e-02,-2.126108186465245353e+00,2.032967032967036403e+00,1.109890109890109855e+01
3.379451990127563477e+00,1.012779430838477879e+00,-1.791208791208788398e+00,6.593406593406569982e-02,-2.123193713282972794e+00,1.769230769230766498e+00,1.072087912087912187e+01
